eaAreaName,easting,gridReference,label,lat,long,measures_label,measure_value,measure_date_time,measure_date,measures_notation,measures_parameter,measures_parameterName,measures_period,measures_qualifier,measures_valueType,stationReference,northing
,,SD4947,Gubberford Lane T12,,,Gubberford Lane T12 - level-groundwater-i-1_h-m,2.735,2023-08-09T05:00:00Z,2023-08-09,SD44_12-level-groundwater-i-1_h-m,level,Water Level,3600,Groundwater,instantaneous,SD44_12,
North East - Yorkshire,393374,SD933237,Todmorden Salford,53.710539,-2.101856,,,,,,,,,,,L1207,423797
Midlands - Shropshire Herefordshire Worcestershire and Gloucestershire,341962,,Eardisland,52.223407,-2.851042,Eardisland LVL - level-stage-i-15_min-mASD,0.308,2023-08-09T21:30:00Z,2023-08-09,055L010SG-level-stage-i-15_min-mASD,level,Water Level,900,Stage,instantaneous,055L010SG,258698
Thames - Kent and South London,521590,,Ewell,51.355767,-0.255182,RIVER HOGSMILL AT EWELL - level-stage-i-15_min-mASD,0.187,2023-08-09T18:00:00Z,2023-08-09,3350TH-level-stage-i-15_min-mASD,level,Water Level,900,Stage,instantaneous,3350TH,163300
Thames - West Thames,399600,,Oaksey,51.632205,-2.007169,,,,,,,,,,,0155TH,192600
,446891,SE4689127109,Fairburn Sluices,53.738253,-1.290587,Fairburn Sluices - level-stage-i-15_min-m,0.311,2023-08-09T21:30:00Z,2023-08-09,F1701-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,F1701,427109
Thames - Hertfordshre and North London,534050,TQ3405092540,"Edmonton, Silver Street",51.615727,-0.065253,PYMMES BROOK AT EDMONTON(SILVER ST) - level-stage-i-15_min-mASD,0.046,2023-08-09T21:30:00Z,2023-08-09,5369TH-level-stage-i-15_min-mASD,level,Water Level,900,Stage,instantaneous,5369TH,192540
,399550,SO995104,Rainfall station,51.792696,-2.00792,rainfall-tipping_bucket_raingauge-t-15_min-mm,0.0,2023-08-09T21:30:00Z,2023-08-09,248965TP-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,Rainfall,900,Tipping Bucket Raingauge,total,248965TP,210450
North East - Northumberland Durham and Tees,450507,NZ 5050731740,Hartlepool Burn Valley  Gardens,54.678181,-1.218223,Hartlepool Burn Valley Gardens - level-stage-i-15_min-m,0.019,2023-08-09T21:30:00Z,2023-08-09,L39020-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,L39020,531740
,446619,SP4661942838,Hardwick FAS,52.081936,-1.321103,,,,,,,,,,,1415TH,242838
,273591,SX7359166254,BUCKFASTLEIGH HIGHER TOWN BRIDGE,50.482427,-3.783081,BUCKFASTLEIGH HIGHER TOWN BRIDGE - level-stage-i-15_min-m,0.525,2023-08-09T21:00:00Z,2023-08-09,E81910-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,E81910,66254
,547050,TL470402,Rainfall station,52.041145,0.142627,rainfall-tipping_bucket_raingauge-t-15_min-mm,0.0,2023-08-09T15:45:00Z,2023-08-09,E22268-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,Rainfall,900,Tipping Bucket Raingauge,total,E22268,240250
,609850,TG098436,Rainfall station,52.949162,1.122162,rainfall-tipping_bucket_raingauge-t-1_h-mm,0.0,2023-08-09T21:00:00Z,2023-08-09,E5729-rainfall-tipping_bucket_raingauge-t-1_h-mm,rainfall,Rainfall,3600,Tipping Bucket Raingauge,total,E5729,343650
,396611,SO9661171641,Bromsgrove Burcot Avenue,52.342826,-2.051161,Bromsgrove Burcot Avenue - level-stage-i-15_min-mASD,0.051,2023-08-09T21:30:00Z,2023-08-09,2544-level-stage-i-15_min-mASD,level,Water Level,900,Stage,instantaneous,2544,271641
Thames - West Thames,449720,,New Botley,51.752648,-1.281126,Bulstake Stream at New Botley - level-stage-i-15_min-mASD,1.015,2023-08-09T21:30:00Z,2023-08-09,1645TH-level-stage-i-15_min-mASD,level,Water Level,900,Stage,instantaneous,1645TH,206240
,460550,SU605321,Rainfall station,51.085476,-1.13689,rainfall-tipping_bucket_raingauge-t-15_min-mm,0.0,2023-08-09T21:30:00Z,2023-08-09,E12821-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,Rainfall,900,Tipping Bucket Raingauge,total,E12821,132150
South West - Devon and Cornwall,294280,,Stoodleigh,50.949994,-3.506375,,,,,,,,,,,45120,117810
,605650,TM056994,Rainfall station,52.554012,1.032047,rainfall-tipping_bucket_raingauge-t-15_min-mm,0.0,2023-08-09T04:30:00Z,2023-08-09,E42981-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,Rainfall,900,Tipping Bucket Raingauge,total,E42981,299450
,429172,SP2917272073,Kenilworth Whateleys Drive,52.345951,-1.573184,Kenilworth Whateleys Drive - level-stage-i-15_min-mASD,0.125,2023-08-09T21:30:00Z,2023-08-09,2540-level-stage-i-15_min-mASD,level,Water Level,900,Stage,instantaneous,2540,272073
,570865,TQ7086553033,TESTON GS,51.250865,0.446967,TESTON GS - flow--i-15_min-m3_s,2.697,2023-08-09T21:30:00Z,2023-08-09,E641-flow--i-15_min-m3_s,flow,Flow,900,,instantaneous,E641,153033
,519595,TQ19594967,Brockham FWS,51.233732,-0.288379,Brockham FWS - level-stage-i-15_min-mASD,0.329,2023-08-09T21:30:00Z,2023-08-09,3269TH-level-stage-i-15_min-mASD,level,Water Level,900,Stage,instantaneous,3269TH,149675
,517005,TQ17007140,Teddington Lock Tail (AOD),51.429574,-0.318329,Teddington Lock Tail (AOD) - level-tidal_level-i-15_min-mAOD,3.024,2023-08-09T21:30:00Z,2023-08-09,3401TH_TAOD-level-tidal_level-i-15_min-mAOD,level,Water Level,900,Tidal Level,instantaneous,3401TH_TAOD,171405
Thames - West Thames,409400,,Cricklade,51.646694,-1.865536,,,,,,,,,,,0190TH,194220
North East - Yorkshire,501001,TA0100189996,Scalby,54.295592,-0.449631,Scalby - level-stage-i-15_min-m,0.434,2023-08-09T21:30:00Z,2023-08-09,L2603-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,L2603,489996
,301408,ST0140807347,CULLOMPTON LANGLANDS,50.8572,-3.402107,CULLOMPTON LANGLANDS - level-stage-i-15_min-m,0.064,2023-08-09T21:00:00Z,2023-08-09,45192-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,45192,107347
Anglian - Cambridgeshire and Bedfordshire,536950,TL 3695 7275,Brownshill,52.335738,0.008586,BROWNSHILL STAUNCH SLUICE BLUNTISHAM - level-stage-i-15_min-mASD,0.319,2023-08-09T14:45:00Z,2023-08-09,E24255-level-stage-i-15_min-mASD,level,Water Level,900,Stage,instantaneous,E24255,272750
,527905,TQ27903780,Woodfield Road FD,51.125252,-0.173636,,,,,,,,,,,3212TH,137805
,539783,TF3978302851,RINGS END SLUICE AUTO WITS,52.605456,0.062745,RINGS END SLUICE AUTO WITS - level-stage-i-15_min-mAOD,1.117,2023-08-09T21:30:00Z,2023-08-09,E1472-level-stage-i-15_min-mAOD,level,Water Level,900,Stage,instantaneous,E1472,302851
,456950,SU569324,BOROUGH BRIDGE GS,51.088542,-1.188235,BOROUGH BRIDGE GS - flow--i-15_min-m3_s,0.475,2023-08-09T21:30:00Z,2023-08-09,E12552-flow--i-15_min-m3_s,flow,Flow,900,,instantaneous,E12552,132450
South West - Devon and Cornwall,252151,,Carnwood,50.431671,-4.083069,CARWOOD TO BE WITSD - level-stage-i-15_min-m,0.366,2023-08-09T16:00:00Z,2023-08-09,47121-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,47121,61165
South West - Devon and Cornwall,297239,,Clyst St Mary Millstream Outfall,50.710932,-3.456787,CLYST ST MARY MILLSTREAM OUTFALL - level-stage-i-15_min-m,1.717,2023-08-09T21:30:00Z,2023-08-09,E84323-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,E84323,91157
Anglian - Essex Norfolk and Suffolk,562411,TQ 62412 96981,Mountnessing,51.648181,0.346098,MOUNTNESSING - level-stage-i-15_min-mASD,0.332,2023-08-09T21:30:00Z,2023-08-09,E24899-level-stage-i-15_min-mASD,level,Water Level,900,Stage,instantaneous,E24899,196983
Anglian - Lincolnshire and Northamptonshire,496500,,Fosdyke Jetty,53.23087,-0.555797,FOSSDYKE C BWB JETTY GS LINCOLN WITS - level-stage-i-15_min-mASD,1.393,2023-08-09T21:30:00Z,2023-08-09,E1672-level-stage-i-15_min-mASD,level,Water Level,900,Stage,instantaneous,E1672,371400
,544050,TF440327,Rainfall station,52.872934,0.138821,rainfall-tipping_bucket_raingauge-t-1_h-mm,0.0,2023-08-09T21:00:00Z,2023-08-09,E5727-rainfall-tipping_bucket_raingauge-t-1_h-mm,rainfall,Rainfall,3600,Tipping Bucket Raingauge,total,E5727,332750
,514271,TL1427139317,SHEFFORD GS,52.040479,-0.335362,SHEFFORD GS - flow-stage-i-15_min-m3_s,0.795,2023-08-09T14:45:00Z,2023-08-09,E22353-flow-stage-i-15_min-m3_s,flow,Flow,900,Stage,instantaneous,E22353,239317
,394015,ST9401583153,STARTLEY,51.547231,-2.087697,STARTLEY - level-stage-i-15_min-m,0.096,2023-08-09T21:30:00Z,2023-08-09,E4580-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,E4580,183153
,490994,SK9099476277,TILL WASHLAND CONTROL SAXILBY WITS,53.275667,-0.636863,TILL WASHLAND CONTROL SAXILBY WITS - level-downstage-i-15_min-mAOD,4.441,2023-08-09T21:30:00Z,2023-08-09,E68044-level-downstage-i-15_min-mAOD,level,Water Level,900,Downstream Stage,instantaneous,E68044,376277
,371180,ST7118027820,WINCANTON A303 TO BE WITSD,51.048996,-2.41251,WINCANTON A303 TO BE WITSD - flow-1-i-15_min-m3_s,0.0,2023-08-09T16:00:00Z,2023-08-09,43229-flow-1-i-15_min-m3_s,flow,Flow,900,1,instantaneous,43229,127820
South West - Devon and Cornwall,167447,,Boscadjack,50.131125,-5.255319,BOSCADJACK - level-stage-i-15_min-m,0.283,2023-08-09T16:00:00Z,2023-08-09,48138-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,48138,30748
Midlands - Shropshire Herefordshire Worcestershire and Gloucestershire,381481,SO8148114888,Bodiam Avenue Relief Channel,51.832287,-2.270144,Bodiam Avenue LVL - level-stage-i-15_min-mASD,0.386,2023-08-09T21:30:00Z,2023-08-09,2425-level-stage-i-15_min-mASD,level,Water Level,900,Stage,instantaneous,2425,214888
North West - Cumbria and Lancashire,335965,NY 35965 03406,Jeffy Knotts,54.422024,-2.98839,Jeffy Knots - level-stage-i-15_min-m,0.683,2023-08-09T21:30:00Z,2023-08-09,735123-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,735123,503406
,262650,SX626738,Rainfall station,50.548234,-3.940001,rainfall-tipping_bucket_raingauge-t-15_min-mm,0.0,2023-08-09T21:00:00Z,2023-08-09,46106-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,Rainfall,900,Tipping Bucket Raingauge,total,46106,73850
Thames - West Thames,407580,,Cerney Wick,51.665333,-1.891795,,,,,,,,,,,0290TH,196290
Thames - Kent and South London,524800,,North Cheam,51.374843,-0.208335,Pyl Brook at North Cheam - level-stage-i-15_min-mASD,0.971,2023-08-09T21:30:00Z,2023-08-09,4045TH-level-stage-i-15_min-mASD,level,Water Level,900,Stage,instantaneous,4045TH,165500
Midlands - Shropshire Herefordshire Worcestershire and Gloucestershire,378150,,Bewdley,52.383563,-2.322438,,,,,,,,,,,2001,276220
,396850,SD968178,Rainfall station,53.65712,-2.049131,rainfall-tipping_bucket_raingauge-t-15_min-mm,0.0,2023-08-09T21:30:00Z,2023-08-09,561299-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,Rainfall,900,Tipping Bucket Raingauge,total,561299,417850
North East - Yorkshire,440132,,Blackstones Farm,53.971111,-1.38968,Black Stones - level-stage-i-15_min-m,0.201,2023-08-09T21:30:00Z,2023-08-09,F2125-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,F2125,452956
Midlands - Staffordshire Warwickshire and West Midlands,396550,SJ 9655 5355,Wallgrange,53.079153,-2.052945,Wallgrange LVL - level-stage-i-15_min-mASD,0.098,2023-08-09T21:30:00Z,2023-08-09,4895-level-stage-i-15_min-mASD,level,Water Level,900,Stage,instantaneous,4895,353550
North West - Cumbria and Lancashire,352141,,Eamont Bridge Farm,54.651055,-2.743236,Eamont Bidge Farm - level-stage-i-15_min-m,0.327,2023-08-09T21:30:00Z,2023-08-09,761659-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,761659,528695
North East - Yorkshire,444300,,Staveley,53.26654,-1.337263,Staveley - level-stage-i-15_min-m,0.147,2023-08-09T21:30:00Z,2023-08-09,F0103-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,F0103,374600
South West - Wessex,356024,,Colliters Brook,51.427707,-2.63391,ASHTON COLLITERS SPLITTER - level-stage-i-15_min-m,0.05,2023-08-09T21:30:00Z,2023-08-09,53137-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,53137,170047
North East - Northumberland Durham and Tees,413680,,Waren Ford,55.550443,-1.784723,Warenford - level-stage-i-15_min-m,0.009,2023-08-09T21:30:00Z,2023-08-09,021040-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,021040,628550
,292750,SS927378,Rainfall station,51.129849,-3.534087,rainfall-tipping_bucket_raingauge-t-15_min-mm,0.0,2023-08-09T21:00:00Z,2023-08-09,45102-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,Rainfall,900,Tipping Bucket Raingauge,total,45102,137850
Thames - Hertfordshre and North London,539169,TQ3916993048,Chingford,51.619051,0.008836,Chingford FW - level-stage-i-15_min-mASD,0.264,2023-08-09T21:30:00Z,2023-08-09,5376TH-level-stage-i-15_min-mASD,level,Water Level,900,Stage,instantaneous,5376TH,193048
Midlands - Derbyshire Nottinghamshire and Leicestershire,452140,,Newtown Linford,52.683384,-1.230147,Newtown Linford LVL - level-stage-i-15_min-mASD,0.856,2023-08-09T09:15:00Z,2023-08-09,46839-level-stage-i-15_min-mASD,level,Water Level,900,Stage,instantaneous,46839,309800
Anglian - Lincolnshire and Northamptonshire,517700,,Kirkstead Bridge,53.143044,-0.241774,KIRKSTEAD R WITHAM GS - level-stage-i-15_min-mASD,0.843,2023-08-09T18:45:00Z,2023-08-09,E1191-level-stage-i-15_min-mASD,level,Water Level,900,Stage,instantaneous,E1191,362100
South West - Wessex,391444,,Brokenborough,51.602656,-2.124925,BROKENBOROUGH - level-stage-i-15_min-m,0.177,2023-08-09T21:30:00Z,2023-08-09,53136-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,53136,189321
,,SD5831,Red Scar Wood,,,Red Scar Wood - level-groundwater-i-1_h-m,5.789,2023-08-09T05:00:00Z,2023-08-09,SD53_25-level-groundwater-i-1_h-m,level,Water Level,3600,Groundwater,instantaneous,SD53_25,
Anglian - Wessex,349530,ST 4953 7815,Avonmouth Portbury,51.49999,-2.728468,Avonmouth Portbury - level-tidal_level-Mean-15_min-mAOD,0.31,2023-08-09T21:30:00Z,2023-08-09,E72639-level-tidal_level-Mean-15_min-mAOD,level,Water Level,900,Tidal Level,mean,E72639,178147
,535422,TA3542203187,TETNEY OUTFALL GSM,53.507924,0.040547,TETNEY OUTFALL GSM - level-stage-i-15_min-mAOD,-1.653,2023-08-09T18:45:00Z,2023-08-09,E5309-level-stage-i-15_min-mAOD,level,Water Level,900,Stage,instantaneous,E5309,403187
,232750,SS327149,Rainfall station,50.909721,-4.380331,rainfall-tipping_bucket_raingauge-t-15_min-mm,0.0,2023-08-09T21:00:00Z,2023-08-09,50187-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,Rainfall,900,Tipping Bucket Raingauge,total,50187,114950
,360775,ST6077574748,EASTVILLE,51.470324,-2.566101,EASTVILLE - level-1-i-15_min-mAOD,4.233,2023-08-09T21:30:00Z,2023-08-09,531161-level-1-i-15_min-mAOD,level,Water Level,900,1,instantaneous,531161,174748
North West - Cumbria and Lancashire,358570,,Hornby,54.109696,-2.63518,Hornby - level-stage-i-15_min-m,0.311,2023-08-09T21:30:00Z,2023-08-09,724528-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,724528,468390
Southern - Kent and South London,552180,,Hendal Bridge,51.108316,0.172486,HENDAL BRIDGE GS - level-stage-i-15_min-mASD,0.166,2023-08-09T21:30:00Z,2023-08-09,E714-level-stage-i-15_min-mASD,level,Water Level,900,Stage,instantaneous,E714,136580
Midlands - Staffordshire Warwickshire and West Midlands,416308,,Aston Bridge,52.877141,-1.759128,Aston Bridge LVL - level-stage-i-15_min-mASD,0.967,2023-08-09T21:30:00Z,2023-08-09,4124-level-stage-i-15_min-mASD,level,Water Level,900,Stage,instantaneous,4124,331103
Southern - Solent and South Downs,504501,,Pulborough Swan Bridge,50.956335,-0.513508,PULBOROUGH RL - level-stage-i-15_min-mASD,1.278,2023-08-09T21:30:00Z,2023-08-09,E9920-level-stage-i-15_min-mASD,level,Water Level,900,Stage,instantaneous,E9920,118486
South West - Devon and Cornwall,178065,,Penryn Trelawney Park,50.172659,-5.109416,PENRYN TRELAWNEY PARK - level-downstage-i-15_min-mASD,-13.014,2023-08-09T16:00:00Z,2023-08-09,48143-level-downstage-i-15_min-mASD,level,Water Level,900,Downstream Stage,instantaneous,48143,34920
,349650,SD496456,Garstang FCS,53.904538,-2.767831,,,,,,,,,,,720105,445650
Anglian - Cambridgeshire and Bedfordshire,469300,SP 6930 3377,Buckingham,51.998052,-0.992004,BUCKINGHAM GS WITS - level-stage-i-15_min-mASD,0.16,2023-08-09T21:30:00Z,2023-08-09,E25055-level-stage-i-15_min-mASD,level,Water Level,900,Stage,instantaneous,E25055,233770
,146743,SW 46743 28559,Newlyn,50.103,-5.543,Newlyn - level-tidal_level-Mean-15_min-m,4.373,2023-08-09T21:30:00Z,2023-08-09,E72224-level-tidal_level-Mean-15_min-m,level,Water Level,900,Tidal Level,mean,E72224,28559
,422433,SZ2243394029,CHEWTON GLEN GS,50.745435,-1.683407,CHEWTON GLEN GS - flow--i-15_min-m3_s,0.038,2023-08-09T16:00:00Z,2023-08-09,E14262-flow--i-15_min-m3_s,flow,Flow,900,,instantaneous,E14262,94029
North East - Yorkshire,434751,SE3475186180,Maunby,54.270085,-1.467898,Maunby - level-stage-i-15_min-m,0.274,2023-08-09T21:15:00Z,2023-08-09,L2304-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,L2304,486180
,,TQ0449,Newlands Corner OBH,,,Newlands Corner OBH - level-groundwater-i-1_h-mAOD,84.202,2023-08-09T10:00:00Z,2023-08-09,TQ04_74-level-groundwater-i-1_h-mAOD,level,Water Level,3600,Groundwater,instantaneous,TQ04_74,
South West - Wessex,370840,,Louds Mill,50.712042,-2.414359,LOUDSMILL - level-stage-i-15_min-m,0.117,2023-08-09T16:00:00Z,2023-08-09,44205-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,44205,90350
South West - Wessex,385773,,Brixton Deverill,51.141596,-2.204737,BRIXTON DEVERILL - level-stage-i-15_min-m,0.159,2023-07-24T06:00:00Z,2023-07-24,43116-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,43116,138057
Southern - Solent and South Downs,442146,SU4214642240,Bransbury,51.177844,-1.39845,,,,,,,,,,,E13851,142240
South West - Wessex,390860,,Norton Bavant,51.1839,-2.132143,,,,,,,,,,,43112,142750
,524086,TF2408660990,FULSBY LOCK R BAIN GS,53.131624,-0.146782,FULSBY LOCK R BAIN GS - flow-stage-i-15_min-m3_s,0.579,2023-08-09T06:00:00Z,2023-08-09,E2991-flow-stage-i-15_min-m3_s,flow,Flow,900,Stage,instantaneous,E2991,360990
,,SD4736,Woodsfold Bridge Catforth T6,,,Woodsfold Bridge Catforth T6 - level-groundwater-i-1_h-m,6.758,2023-08-09T05:00:00Z,2023-08-09,SD43_1-level-groundwater-i-1_h-m,level,Water Level,3600,Groundwater,instantaneous,SD43_1,
Midlands - Derbyshire Nottinghamshire and Leicestershire,465290,SK6529047950,Lowdham,53.024857,-1.028024,Lowdham LVL - level-stage-i-15_min-mASD,0.162,2023-08-09T21:30:00Z,2023-08-09,4060-level-stage-i-15_min-mASD,level,Water Level,900,Stage,instantaneous,4060,347950
,,SU7467,Arborfield OBH,,,Arborfield OBH - level-groundwater-i-1_h-mAOD,36.786,2023-08-09T10:00:00Z,2023-08-09,SU76_44-level-groundwater-i-1_h-mAOD,level,Water Level,3600,Groundwater,instantaneous,SU76_44,
South West - Devon and Cornwall,321720,,Bonehayne,50.747683,-3.110915,BONEHAYNE TO BE WITSD - level-stage-i-15_min-m,0.015,2023-08-09T21:00:00Z,2023-08-09,45217-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,45217,94820
,477250,SU772270,Rainfall station,51.037622,-0.899591,rainfall-tipping_bucket_raingauge-t-15_min-mm,0.0,2023-08-09T21:30:00Z,2023-08-09,E10360-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,Rainfall,900,Tipping Bucket Raingauge,total,E10360,127050
,,SJ4750,Edge,,,Edge - level-groundwater-i-1_h-m,17.495,2023-08-09T07:00:00Z,2023-08-09,SJ45_160-level-groundwater-i-1_h-m,level,Water Level,3600,Groundwater,instantaneous,SJ45_160,
,434551,SK3455136628,Derby Bridge Street Bridge,52.925946,-1.487492,Derby Bridge Street Bridge - level-stage-i-15_min-mASD,0.55,2023-08-09T21:30:00Z,2023-08-09,4681-level-stage-i-15_min-mASD,level,Water Level,900,Stage,instantaneous,4681,336628
,367478,SY6747874656,PORTLAND MONSOON DRAIN BRIDGE,50.570736,-2.460592,PORTLAND MONSOON DRAIN BRIDGE - level-stage-i-15_min-m,0.09,2023-08-09T06:00:00Z,2023-08-09,44136-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,44136,74656
,490441,SK9044178786,BRANSBY CATCHWATER PS GSM,53.298307,-0.64444,BRANSBY CATCHWATER PS GSM - level-stage-i-15_min-mAOD,4.491,2023-08-09T06:00:00Z,2023-08-09,E4849-level-stage-i-15_min-mAOD,level,Water Level,900,Stage,instantaneous,E4849,378786
South West - Devon and Cornwall,321339,,Wilmington Hayne Lane Tunnel,50.801307,-3.117593,WILMINGTON HAYNE LANE TUNNEL - level-stage-i-15_min-m,0.22,2023-08-09T21:30:00Z,2023-08-09,E84463-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,E84463,100790
,621000,TG2100005000,KESWICK MILL SLUICE GSM,52.597814,1.261783,KESWICK MILL SLUICE GSM - level-stage-i-15_min-mAOD,5.38,2023-08-09T13:30:00Z,2023-08-09,E22018-level-stage-i-15_min-mAOD,level,Water Level,900,Stage,instantaneous,E22018,305000
,338300,ST3830027900,OATH,51.047117,-2.88154,OATH - level-downstage-i-15_min-mAOD,8.271,2023-08-09T21:30:00Z,2023-08-09,52238-level-downstage-i-15_min-mAOD,level,Water Level,900,Downstream Stage,instantaneous,52238,127900
North West - Greater Manchester Merseyside and Cheshire,396370,,Marple Bridge,53.404904,-2.056058,Marple Bridge - level-stage-i-15_min-m,0.349,2023-08-09T21:30:00Z,2023-08-09,692370-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,692370,389790
South West - Wessex,390610,ST9061036320,Musseldean Copse,51.126078,-2.13555,MUSSELDEAN COPSE GW - level-groundwater-i-15_min-mAOD,133.983,2023-08-09T21:30:00Z,2023-08-09,43173-level-groundwater-i-15_min-mAOD,level,Water Level,900,Groundwater,instantaneous,43173,136320
Anglian - Cambridgeshire and Bedfordshire,543650,TL 43650 54650,Cambridge Byron's Pool,52.171412,0.099158,BYRONS POOL GS CAMBRIDGE - level-stage-i-15_min-mASD,0.352,2023-08-09T06:30:00Z,2023-08-09,E21732-level-stage-i-15_min-mASD,level,Water Level,900,Stage,instantaneous,E21732,254650
South West - Devon and Cornwall,268560,,Didworthy,50.441465,-3.852396,DIDWORTHY - level-stage-i-15_min-m,0.403,2023-08-09T16:00:00Z,2023-08-09,46117-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,46117,61820
,512171,TQ1217123464,COOLHAM USGS,50.999641,-0.402814,COOLHAM USGS - level-stage-i-15_min-mAOD,12.657,2023-08-09T21:30:00Z,2023-08-09,E9183-level-stage-i-15_min-mAOD,level,Water Level,900,Stage,instantaneous,E9183,123464
Midlands - Shropshire Herefordshire Worcestershire and Gloucestershire,336375,SJ3637516680,Buckley Farm,52.743972,-2.943914,Buckley Farm LVL - level-stage-i-15_min-mASD,0.337,2023-08-09T21:30:00Z,2023-08-09,2834-level-stage-i-15_min-mASD,level,Water Level,900,Stage,instantaneous,2834,316680
North West - Greater Manchester Merseyside and Cheshire,385994,,Gurney Street,53.481022,-2.212509,Gurney Street - level-stage-i-15_min-m,0.229,2023-08-09T21:30:00Z,2023-08-09,690715-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,690715,398278
,531450,TQ314076,Rainfall station,50.853435,-0.133909,rainfall-tipping_bucket_raingauge-t-15_min-mm,0.0,2023-08-09T21:30:00Z,2023-08-09,E8743-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,Rainfall,900,Tipping Bucket Raingauge,total,E8743,107650
,308874,NY0887415293,Ennerdale Lake,54.524681,-3.409458,Ennerdale Lake - level-stage-i-15_min-m,2.042,2023-08-09T21:30:00Z,2023-08-09,744010-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,744010,515293
,550098,TF5009860010,CROFT LANE PS WAINFLEET,53.11614,0.241254,CROFT LANE PS WAINFLEET - level-stage-i-15_min-mAOD,1.559,2023-08-09T06:00:00Z,2023-08-09,E2727-level-stage-i-15_min-mAOD,level,Water Level,900,Stage,instantaneous,E2727,360010
South West - Devon and Cornwall,256726,,Plaistow Mill,51.118685,-4.048455,PLAISTOW MILL - level-stage-i-15_min-m,0.236,2023-08-09T21:00:00Z,2023-08-09,50136-level-stage-i-15_min-m,level,Water Level,900,Stage,instantaneous,50136,137485
,427050,SP270564,Rainfall station,52.205609,-1.605581,rainfall-tipping_bucket_raingauge-t-15_min-mm,0.0,2023-08-09T21:30:00Z,2023-08-09,1165-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,Rainfall,900,Tipping Bucket Raingauge,total,1165,256450
,394950,SJ949714,Rainfall station,53.240041,-2.077118,rainfall-tipping_bucket_raingauge-t-15_min-mm,0.0,2023-08-09T21:30:00Z,2023-08-09,564595-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,Rainfall,900,Tipping Bucket Raingauge,total,564595,371450
,,SJ8975,Dale Brow,,,Dale Brow - level-groundwater-i-1_h-m,40.044,2023-08-09T06:00:00Z,2023-08-09,SJ87_32-level-groundwater-i-1_h-m,level,Water Level,3600,Groundwater,instantaneous,SJ87_32,
,493550,SK9355043360,HONINGTON BECK GS,52.979421,-0.608134,HONINGTON BECK GS - flow-stage-i-15_min-m3_s,0.096,2023-08-09T06:00:00Z,2023-08-09,E3053-flow-stage-i-15_min-m3_s,flow,Flow,900,Stage,instantaneous,E3053,343360
,464585,SE64580122,Auckley LVL,53.503749,-1.027736,Auckley LVL - level-stage-i-15_min-mASD,0.868,2023-08-09T21:30:00Z,2023-08-09,4050-level-stage-i-15_min-mASD,level,Water Level,900,Stage,instantaneous,4050,401225
,396350,SD963335,Rainfall station,53.798228,-2.056887,rainfall-tipping_bucket_raingauge-t-15_min-mm,0.0,2023-08-09T12:30:00Z,2023-08-09,077256-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,Rainfall,900,Tipping Bucket Raingauge,total,077256,433550
